Entity,Code,Year,PPW(kg/person/day),PPP,Total Population
India,IND,2010,0.01,4404.69700530387,1234280960.0
Mozambique,MOZ,2010,0.015,917.763832040531,23532000.0
Madagascar,MDG,2010,0.016,1385.68507168039,21152000.0
Tanzania,TZA,2010,0.023,2090.58322467574,44347000.0
Brunei,BRN,2010,0.026,80552.8644713138,389000.0
Kenya,KEN,2010,0.027,2476.01074216401,42031000.0
Guinea,GIN,2010,0.03,1573.54495756823,10192000.0
Bangladesh,BGD,2010,0.034,2442.72888765696,147575008.0
Jamaica,JAM,2010,0.034,7996.01948795873,2810000.0
Ghana,GHA,2010,0.04,3059.38362640541,24780000.0
Sierra Leone,SLE,2010,0.041,1199.98985027502,6416000.0
Romania,ROU,2010,0.042,17553.2832966444,20472000.0
Benin,BEN,2010,0.043,1818.77846075906,9199000.0
Eritrea,ERI,2010,0.045,1416.36580154238,3170000.0
Mauritania,MRT,2010,0.045,3316.97478042489,3494000.0
Democratic Republic of Congo,COD,2010,0.045,660.210955818272,64564000.0
Cameroon,CMR,2010,0.046,2929.82911281962,20341000.0
Denmark,DNK,2010,0.047,43998.4366716285,5555000.0
Gambia,GMB,2010,0.048,1644.24236613493,1793000.0
Sweden,SWE,2010,0.048,42942.5625032962,9390000.0
Guinea-Bissau,GNB,2010,0.054,1400.36329312665,1523000.0
North Korea,PRK,2010,0.054,,24549000.0
Gabon,GAB,2010,0.054,15355.7846497731,1624000.0
Somalia,SOM,2010,0.054,,12044000.0
Indonesia,IDN,2010,0.057,8433.49735678452,241834000.0
Togo,TGO,2010,0.057,1208.2812098328,6422000.0
Angola,AGO,2010,0.062,5897.68284059848,23356000.0
Palestine,PSE,2010,0.063,4172.74568921544,4056000.0
Cape Verde,CPV,2010,0.065,5828.24158804338,493000.0
Cambodia,KHM,2010,0.066,2522.92682475402,14312000.0
Georgia,GEO,2010,0.068,6733.78376130988,4099000.0
Congo,COG,2010,0.069,5186.34478845194,4274000.0
Albania,ALB,2010,0.069,9927.18184117512,2948000.0
Morocco,MAR,2010,0.073,6443.25361319481,32343000.0
Philippines,PHL,2010,0.075,5596.83728794962,93967000.0
Myanmar,MMR,2010,0.075,3721.21144009279,50601000.0
Belgium,BEL,2010,0.08,41085.9189401366,10939000.0
Oman,OMN,2010,0.084,45335.8525168436,3041000.0
Liberia,LBR,2010,0.084,699.653721510599,3891000.0
Mexico,MEX,2010,0.087,15715.9721449501,114093000.0
Cuba,CUB,2010,0.089,,11226000.0
Haiti,HTI,2010,0.09,1502.03271141224,9949000.0
Canada,CAN,2010,0.093,40699.3551293841,34148000.0
Lebanon,LBN,2010,0.094,16451.7598336606,4953000.0
Poland,POL,2010,0.097,21770.6444359772,38330000.0
Papua New Guinea,PNG,2010,0.103,3191.58041028301,7311000.0
Ukraine,UKR,2010,0.103,7824.49845171438,45792000.0
Pakistan,PAK,2010,0.103,4283.60731163635,179424992.0
Tokelau,TKL,2010,0.103,,1000.0
Norfolk Island,NFK,2010,0.103,,
Nigeria,NGA,2010,0.103,5150.15881822763,158503008.0
Samoa,WSM,2010,0.103,5399.89309631838,186000.0
Sudan,SDN,2010,0.103,3366.09626107549,34545000.0
Iraq,IRQ,2010,0.103,12717.5975271684,29742000.0
Micronesia (country),FSM,2010,0.103,3297.65693360804,103000.0
Solomon Islands,SLB,2010,0.103,1871.36935209356,528000.0
Kiribati,KIR,2010,0.103,1731.53862650466,103000.0
Vietnam,VNM,2010,0.103,4408.16861192198,87968000.0
Sao Tome and Principe,STP,2010,0.103,2641.51394847294,180000.0
Senegal,SEN,2010,0.103,2183.99505141766,12678000.0
Yemen,YEM,2010,0.103,4478.7435991429,23155000.0
Cote d'Ivoire,CIV,2010,0.103,2690.25800198952,20533000.0
Djibouti,DJI,2010,0.103,,840000.0
Russia,RUS,2010,0.112,23107.7852212759,143479008.0
Australia,AUS,2010,0.112,41464.0400696359,22155000.0
South Korea,KOR,2010,0.112,30352.1048190303,49546000.0
Chile,CHL,2010,0.119,19442.0503154635,17063000.0
China,CHN,2010,0.121,9525.81848339164,1368811008.0
Latvia,LVA,2010,0.124,18251.9532813473,2119000.0
Lithuania,LTU,2010,0.132,21070.6343301646,3124000.0
Bahrain,BHR,2010,0.132,40570.5356928307,1241000.0
Italy,ITA,2010,0.134,36201.1615672134,59325000.0
Nicaragua,NIC,2010,0.143,4028.71208738128,5824000.0
Bosnia and Herzegovina,BIH,2010,0.144,9720.34217718095,3705000.0
Libya,LBY,2010,0.144,29630.2221484622,6198000.0
Algeria,DZA,2010,0.144,12870.6026985154,35977000.0
Montenegro,MNE,2010,0.144,14034.5845640087,624000.0
Montserrat,MSR,2010,0.144,,5000.0
Cook Islands,COK,2010,0.144,,18000.0
Namibia,NAM,2010,0.144,8460.84736812378,2119000.0
Nauru,NRU,2010,0.144,6592.43683574598,10000.0
